 ,NODE_AND,NODE_ARGS,NODE_ARGSCAT,NODE_ARGS_AUX,NODE_ARRAY,NODE_BACK_REF,NODE_BEGIN,NODE_BLOCK,NODE_BLOCK_PASS,NODE_BREAK,NODE_CALL,NODE_CASE,NODE_CDECL,NODE_CFUNC,NODE_CONST,NODE_CVAR,NODE_CVASGN,NODE_DASGN,NODE_DASGN_CURR,NODE_DEFN,NODE_DREGX,NODE_DREGX_ONCE,NODE_DSTR,NODE_DVAR,NODE_ENSURE,NODE_EVSTR,NODE_FBODY,NODE_FCALL,NODE_FOR,NODE_GASGN,NODE_GVAR,NODE_HASH,NODE_IASGN,NODE_IF,NODE_ITER,NODE_IVAR,NODE_LASGN,NODE_LIT,NODE_LVAR,NODE_MASGN,NODE_MATCH2,NODE_MATCH3,NODE_METHOD,NODE_NEXT,NODE_NTH_REF,NODE_OPT_ARG,NODE_OP_ASGN1,NODE_OP_ASGN2,NODE_OP_ASGN_OR,NODE_OR,NODE_RESBODY,NODE_RESCUE,NODE_RETRY,NODE_RETURN,NODE_SCOPE,NODE_SPLAT,NODE_STR,NODE_SUPER,NODE_UNTIL,NODE_VALUES,NODE_VCALL,NODE_WHEN,NODE_WHILE,NODE_YIELD,NODE_ZARRAY,NODE_ZSUPER
27,0.053,0.438,0.036,0.438,3.190,0.000,0.050,9.630,0.042,0.000,1.472,0.019,0.023,3.449,0.462,0.022,0.025,0.002,0.012,0.347,0.002,0.000,0.181,0.206,0.011,0.263,12.171,0.665,0.000,0.000,0.005,0.161,0.091,0.366,0.101,0.683,0.425,0.792,1.529,0.009,0.000,0.015,18.892,0.000,0.005,0.124,0.020,0.019,0.019,0.060,0.011,0.011,0.000,0.002,0.562,0.026,0.792,0.020,0.000,0.000,0.239,0.042,40.055,0.009,0.015,0.237
28,0.020,0.235,0.013,0.235,1.470,0.000,0.037,9.726,0.020,0.000,0.749,0.010,0.008,3.732,0.325,0.002,0.017,0.002,0.008,0.179,0.000,0.000,0.040,0.137,0.010,0.064,13.322,0.372,0.000,0.000,0.003,0.072,0.084,0.186,0.067,0.667,0.171,0.433,0.585,0.002,0.000,0.003,20.741,0.000,0.002,0.057,0.005,0.020,0.015,0.029,0.012,0.012,0.000,0.002,0.329,0.020,0.293,0.015,0.000,0.000,0.211,0.022,43.612,0.002,0.010,0.253
29,0.030,0.232,0.013,0.232,1.283,0.000,0.028,9.705,0.015,0.000,0.769,0.008,0.008,3.666,0.292,0.002,0.015,0.005,0.016,0.173,0.000,0.000,0.046,0.175,0.008,0.074,13.432,0.257,0.000,0.000,0.003,0.051,0.063,0.191,0.079,0.659,0.171,0.310,0.545,0.003,0.000,0.002,21.031,0.000,0.002,0.054,0.005,0.016,0.013,0.026,0.013,0.013,0.000,0.012,0.318,0.016,0.277,0.021,0.000,0.000,0.227,0.018,43.830,0.008,0.007,0.249
30,0.044,0.318,0.016,0.318,1.753,0.000,0.032,9.765,0.013,0.000,1.024,0.008,0.017,3.519,0.365,0.005,0.016,0.002,0.022,0.242,0.005,0.000,0.065,0.226,0.006,0.114,13.054,0.351,0.000,0.000,0.003,0.065,0.071,0.224,0.089,0.664,0.210,0.435,0.707,0.005,0.000,0.003,20.478,0.000,0.003,0.051,0.008,0.016,0.014,0.032,0.016,0.016,0.000,0.016,0.406,0.021,0.348,0.021,0.000,0.002,0.289,0.017,42.927,0.003,0.009,0.240
31,0.024,0.225,0.016,0.225,1.335,0.000,0.026,9.762,0.011,0.000,0.767,0.008,0.011,3.551,0.284,0.002,0.014,0.002,0.019,0.163,0.000,0.000,0.053,0.182,0.006,0.080,13.357,0.254,0.000,0.000,0.003,0.062,0.057,0.183,0.075,0.645,0.152,0.346,0.539,0.002,0.000,0.002,21.020,0.000,0.002,0.049,0.008,0.016,0.013,0.027,0.011,0.011,0.000,0.011,0.298,0.016,0.268,0.021,0.000,0.000,0.209,0.018,44.090,0.002,0.006,0.241
32,0.002,0.068,0.008,0.068,0.369,0.000,0.005,9.843,0.010,0.000,0.215,0.002,0.002,3.684,0.132,0.002,0.000,0.002,0.002,0.041,0.000,0.000,0.007,0.063,0.003,0.010,14.127,0.073,0.000,0.000,0.003,0.008,0.018,0.051,0.035,0.632,0.048,0.093,0.127,0.000,0.000,0.002,22.313,0.000,0.002,0.012,0.000,0.003,0.007,0.002,0.010,0.010,0.000,0.002,0.099,0.005,0.099,0.003,0.000,0.000,0.030,0.003,46.422,0.000,0.002,0.250
33,0.017,0.117,0.008,0.118,0.998,0.003,0.014,9.974,0.002,0.000,0.552,0.005,0.021,3.510,0.164,0.008,0.016,0.002,0.016,0.077,0.000,0.000,0.039,0.145,0.008,0.068,13.575,0.181,0.002,0.000,0.000,0.024,0.057,0.123,0.055,0.673,0.096,0.315,0.347,0.009,0.002,0.003,21.482,0.003,0.003,0.016,0.002,0.006,0.017,0.014,0.009,0.009,0.000,0.003,0.166,0.000,0.222,0.000,0.000,0.000,0.125,0.014,45.274,0.005,0.011,0.241
34,0.002,0.051,0.000,0.051,1.061,0.000,0.003,9.814,0.000,0.000,0.181,0.002,0.008,3.422,0.108,0.000,0.000,0.000,0.002,0.031,0.000,0.000,0.008,0.065,0.002,0.012,13.895,0.046,0.000,0.000,0.000,0.008,0.008,0.034,0.029,0.621,0.038,0.114,0.086,0.000,0.000,0.003,22.121,0.000,0.002,0.009,0.000,0.003,0.003,0.005,0.008,0.008,0.000,0.002,0.068,0.002,0.746,0.000,0.000,0.000,0.031,0.003,46.146,0.000,0.003,0.232
35,0.005,0.032,0.002,0.032,0.283,0.000,0.015,9.969,0.000,0.000,0.129,0.000,0.003,3.538,0.088,0.002,0.003,0.000,0.000,0.009,0.000,0.000,0.005,0.053,0.002,0.008,14.160,0.044,0.000,0.000,0.000,0.008,0.000,0.029,0.024,0.629,0.026,0.073,0.058,0.002,0.000,0.002,22.532,0.000,0.002,0.002,0.002,0.003,0.000,0.003,0.005,0.005,0.000,0.000,0.058,0.000,0.099,0.000,0.000,0.000,0.014,0.000,46.889,0.000,0.002,0.230
36,0.002,0.020,0.000,0.020,0.246,0.000,0.005,9.999,0.000,0.000,0.105,0.000,0.003,3.490,0.077,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.006,0.045,0.002,0.011,14.186,0.039,0.000,0.000,0.000,0.005,0.003,0.026,0.021,0.646,0.030,0.047,0.057,0.002,0.000,0.002,22.610,0.000,0.002,0.002,0.000,0.003,0.000,0.002,0.005,0.005,0.000,0.003,0.038,0.000,0.092,0.000,0.000,0.000,0.009,0.000,47.032,0.000,0.002,0.227
37,0.000,0.029,0.003,0.029,0.232,0.000,0.006,9.846,0.007,0.000,0.137,0.000,0.001,3.375,0.067,0.000,0.000,0.000,0.000,0.013,0.000,0.000,0.006,0.052,0.001,0.010,13.865,0.038,0.000,0.000,0.001,0.004,0.010,0.026,0.023,0.646,0.026,0.042,0.057,0.000,0.000,0.001,22.157,0.000,0.001,0.001,0.000,0.000,0.000,0.003,0.004,0.004,0.000,0.000,0.049,0.000,0.078,0.000,0.000,0.000,0.007,0.000,48.074,0.000,0.003,0.219
38,0.017,0.171,0.017,0.171,0.771,0.000,0.014,9.925,0.006,0.001,0.451,0.004,0.054,3.196,0.140,0.000,0.000,0.003,0.018,0.132,0.003,0.000,0.022,0.157,0.006,0.039,13.426,0.114,0.000,0.000,0.000,0.011,0.039,0.084,0.048,0.743,0.098,0.209,0.216,0.001,0.003,0.004,21.371,0.000,0.007,0.021,0.010,0.000,0.014,0.012,0.017,0.015,0.000,0.012,0.204,0.006,0.248,0.000,0.001,0.000,0.088,0.008,46.307,0.008,0.004,0.213
39,0.015,0.096,0.007,0.096,0.491,0.000,0.005,9.545,0.000,0.000,0.293,0.003,0.004,4.059,0.092,0.000,0.000,0.000,0.007,0.076,0.003,0.000,0.016,0.065,0.001,0.029,14.365,0.066,0.000,0.000,0.000,0.009,0.013,0.060,0.032,0.718,0.042,0.106,0.096,0.000,0.003,0.004,22.292,0.000,0.007,0.003,0.007,0.000,0.011,0.009,0.005,0.005,0.000,0.007,0.119,0.000,0.231,0.003,0.000,0.000,0.080,0.005,45.552,0.000,0.003,0.206
